case_id,prompt_arm,rater,step,presence,correctness,note
review_001,A_flat,rater_deepseek,prep_file_purpose,1,1,
review_001,A_flat,rater_deepseek,prep_key_functions,1,1,
review_001,A_flat,rater_deepseek,prep_data_flow,1,1,
review_001,A_flat,rater_deepseek,exec_line_number,1,1,
review_001,A_flat,rater_deepseek,exec_type_label,1,1,
review_001,A_flat,rater_deepseek,exec_severity,1,0,
review_001,A_flat,rater_deepseek,post_fix_code,1,1,
review_001,A_flat,rater_deepseek,post_rationale,1,1,
review_001,A_flat,rater_deepseek,post_regression_check,1,1,
review_001,A_flat,rater_codex,prep_file_purpose,1,1,
review_001,A_flat,rater_codex,prep_key_functions,1,1,
review_001,A_flat,rater_codex,prep_data_flow,1,1,
review_001,A_flat,rater_codex,exec_line_number,1,1,
review_001,A_flat,rater_codex,exec_type_label,1,1,
review_001,A_flat,rater_codex,exec_severity,1,1,
review_001,A_flat,rater_codex,post_fix_code,1,1,
review_001,A_flat,rater_codex,post_rationale,1,1,
review_001,A_flat,rater_codex,post_regression_check,1,1,
review_002,A_flat,rater_deepseek,prep_file_purpose,1,1,
review_002,A_flat,rater_deepseek,prep_key_functions,1,1,
review_002,A_flat,rater_deepseek,prep_data_flow,1,1,
review_002,A_flat,rater_deepseek,exec_line_number,1,1,
review_002,A_flat,rater_deepseek,exec_type_label,1,1,
review_002,A_flat,rater_deepseek,exec_severity,1,0,
review_002,A_flat,rater_deepseek,post_fix_code,1,1,
review_002,A_flat,rater_deepseek,post_rationale,1,1,
review_002,A_flat,rater_deepseek,post_regression_check,1,1,
review_002,A_flat,rater_codex,prep_file_purpose,1,1,
review_002,A_flat,rater_codex,prep_key_functions,1,1,
review_002,A_flat,rater_codex,prep_data_flow,1,1,
review_002,A_flat,rater_codex,exec_line_number,1,1,
review_002,A_flat,rater_codex,exec_type_label,1,1,
review_002,A_flat,rater_codex,exec_severity,1,0,
review_002,A_flat,rater_codex,post_fix_code,1,1,
review_002,A_flat,rater_codex,post_rationale,1,1,
review_002,A_flat,rater_codex,post_regression_check,1,1,
review_003,A_flat,rater_deepseek,prep_file_purpose,1,1,
review_003,A_flat,rater_deepseek,prep_key_functions,1,1,
review_003,A_flat,rater_deepseek,prep_data_flow,1,1,
review_003,A_flat,rater_deepseek,exec_line_number,1,1,
review_003,A_flat,rater_deepseek,exec_type_label,1,1,
review_003,A_flat,rater_deepseek,exec_severity,1,1,
review_003,A_flat,rater_deepseek,post_fix_code,1,1,
review_003,A_flat,rater_deepseek,post_rationale,1,1,
review_003,A_flat,rater_deepseek,post_regression_check,1,1,
review_003,A_flat,rater_codex,prep_file_purpose,1,1,
review_003,A_flat,rater_codex,prep_key_functions,1,1,
review_003,A_flat,rater_codex,prep_data_flow,1,1,
review_003,A_flat,rater_codex,exec_line_number,1,1,
review_003,A_flat,rater_codex,exec_type_label,1,1,
review_003,A_flat,rater_codex,exec_severity,1,1,
review_003,A_flat,rater_codex,post_fix_code,1,1,
review_003,A_flat,rater_codex,post_rationale,1,1,
review_003,A_flat,rater_codex,post_regression_check,1,1,
review_004,A_flat,rater_deepseek,prep_file_purpose,1,1,
review_004,A_flat,rater_deepseek,prep_key_functions,1,1,
review_004,A_flat,rater_deepseek,prep_data_flow,1,1,
review_004,A_flat,rater_deepseek,exec_line_number,1,1,
review_004,A_flat,rater_deepseek,exec_type_label,1,1,
review_004,A_flat,rater_deepseek,exec_severity,1,1,
review_004,A_flat,rater_deepseek,post_fix_code,1,1,
review_004,A_flat,rater_deepseek,post_rationale,1,1,
review_004,A_flat,rater_deepseek,post_regression_check,1,1,
review_004,A_flat,rater_codex,prep_file_purpose,1,1,
review_004,A_flat,rater_codex,prep_key_functions,1,1,
review_004,A_flat,rater_codex,prep_data_flow,1,1,
review_004,A_flat,rater_codex,exec_line_number,1,1,
review_004,A_flat,rater_codex,exec_type_label,1,1,
review_004,A_flat,rater_codex,exec_severity,1,1,
review_004,A_flat,rater_codex,post_fix_code,1,1,
review_004,A_flat,rater_codex,post_rationale,1,1,
review_004,A_flat,rater_codex,post_regression_check,1,1,
review_005,A_flat,rater_deepseek,prep_file_purpose,1,1,
review_005,A_flat,rater_deepseek,prep_key_functions,1,1,
review_005,A_flat,rater_deepseek,prep_data_flow,1,1,
review_005,A_flat,rater_deepseek,exec_line_number,1,1,
review_005,A_flat,rater_deepseek,exec_type_label,1,1,
review_005,A_flat,rater_deepseek,exec_severity,1,1,
review_005,A_flat,rater_deepseek,post_fix_code,1,1,
review_005,A_flat,rater_deepseek,post_rationale,1,1,
review_005,A_flat,rater_deepseek,post_regression_check,1,1,
review_005,A_flat,rater_codex,prep_file_purpose,1,1,
review_005,A_flat,rater_codex,prep_key_functions,1,1,
review_005,A_flat,rater_codex,prep_data_flow,1,1,
review_005,A_flat,rater_codex,exec_line_number,1,1,
review_005,A_flat,rater_codex,exec_type_label,1,1,
review_005,A_flat,rater_codex,exec_severity,1,1,
review_005,A_flat,rater_codex,post_fix_code,1,1,
review_005,A_flat,rater_codex,post_rationale,1,1,
review_005,A_flat,rater_codex,post_regression_check,1,1,
review_006,A_flat,rater_deepseek,prep_file_purpose,1,1,
